date,team,W/L,eFG%,TOV%,ORB%,FT/FGA,IsRegular,Season
2000-11-22,MIA,0,.36,14.6,22.4,.173,1,2000
2000-11-22,CLE,1,.552,18.3,20,.179,1,2000
2000-11-22,MIL,0,.468,13.1,26.2,.141,1,2000
2000-11-22,POR,1,.536,17.9,28.1,.275,1,2000
2000-11-22,MIN,1,.489,11.1,36.2,.157,1,2000
2000-11-22,VAN,0,.573,18.6,15.2,.187,1,2000
2000-11-22,PHO,1,.524,13.2,25,.12,1,2000
2000-11-22,NJN,0,.441,19.8,20.5,.237,1,2000
2000-11-22,SAC,1,.5,15.2,29.5,.235,1,2000
2000-11-22,CHI,0,.355,19.3,21.2,.145,1,2000
2000-11-22,SAS,1,.471,8.1,30.6,.376,1,2000
2000-11-22,SEA,0,.404,16.1,24.5,.217,1,2000
2000-11-22,UTA,1,.599,10.6,29.4,.235,1,2000
2000-11-22,DEN,0,.397,14.8,21.3,.274,1,2000
2000-11-23,IND,0,.481,14.9,17.9,.19,1,2000
2000-11-23,TOR,1,.519,12.7,33.3,.35,1,2000
2000-11-24,ATL,0,.39,14.7,12.8,.091,1,2000
2000-11-24,PHI,1,.387,16,30.2,.24,1,2000
2000-11-24,BOS,1,.444,13.2,22.7,.4,1,2000
2000-11-24,ORL,0,.506,17.7,15.9,.169,1,2000
2000-11-24,CLE,1,.464,17.4,38.7,.304,1,2000
2000-11-24,MIA,0,.412,16.9,28.3,.257,1,2000
2000-11-24,DEN,1,.617,13.8,24.1,.091,1,2000
2000-11-24,SAS,0,.427,9.6,30.2,.268,1,2000
2000-11-24,DET,1,.619,18,34.4,.238,1,2000
2000-11-24,VAN,0,.441,16.9,34.1,.247,1,2000
2000-11-24,IND,1,.526,17.5,16.7,.218,1,2000
2000-11-24,WAS,0,.39,13.5,25,.28,1,2000
2000-11-24,LAL,1,.568,16.2,32.5,.17,1,2000
2000-11-24,MIN,0,.484,12.1,25.5,.207,1,2000
2000-11-24,MIL,0,.408,9.2,39.6,.218,1,2000
2000-11-24,CHH,1,.62,18.6,43.8,.173,1,2000
2000-11-24,PHO,1,.339,9.6,30.9,.183,1,2000
2000-11-24,GSW,0,.395,14.1,24,.07,1,2000
2000-11-24,SEA,1,.525,9.3,12.8,.16,1,2000
2000-11-24,LAC,0,.41,15.2,30.4,.09,1,2000
2000-11-24,UTA,1,.542,17.8,21.6,.264,1,2000
2000-11-24,NJN,0,.415,18.3,26.3,.366,1,2000
2000-11-25,CHH,1,.475,9.3,38.9,.43,1,2000
2000-11-25,CLE,0,.493,12.9,27.8,.303,1,2000
2000-11-25,DAL,1,.549,8,24.4,.235,1,2000
2000-11-25,DEN,0,.425,12.4,31.4,.2,1,2000
2000-11-25,GSW,1,.587,12.1,33.3,.347,1,2000
2000-11-25,MIN,0,.415,14,33.3,.227,1,2000
2000-11-25,LAC,0,.404,23.4,37.5,.265,1,2000
2000-11-25,PHO,1,.436,12.7,13,.233,1,2000
2000-11-25,MIA,0,.379,13.8,21.4,.455,1,2000
2000-11-25,HOU,1,.53,16.5,28.1,.318,1,2000
2000-11-25,NYK,0,.479,19.1,11.8,.068,1,2000
2000-11-25,TOR,1,.429,13.9,23.4,.169,1,2000
2000-11-25,ORL,1,.495,15.9,49,.237,1,2000
2000-11-25,ATL,0,.449,17.8,30.2,.282,1,2000
2000-11-25,POR,1,.515,22.8,33.3,.235,1,2000
2000-11-25,NJN,0,.451,20.6,32.4,.282,1,2000
2000-11-25,SAC,1,.552,12.3,40.5,.198,1,2000
2000-11-25,SEA,0,.421,16.2,27.7,.39,1,2000
2000-11-25,SAS,1,.488,10.7,16.3,.21,1,2000
2000-11-25,PHI,0,.357,19.8,29.8,.273,1,2000
2000-11-25,WAS,1,.445,16,36.4,.415,1,2000
2000-11-25,MIL,0,.434,14.1,28.6,.337,1,2000
2000-11-26,BOS,0,.409,16.3,13.3,.312,1,2000
2000-11-26,VAN,1,.476,19.1,33.3,.244,1,2000
2000-11-26,DET,0,.449,18,25.5,.115,1,2000
2000-11-26,UTA,1,.506,15,21.6,.134,1,2000
2000-11-26,TOR,1,.455,10.3,34.1,.403,1,2000
2000-11-26,CHI,0,.452,12.4,26.1,.155,1,2000
2000-11-27,LAC,0,.385,8.3,31.5,.143,1,2000
2000-11-27,LAL,1,.482,11.4,33.3,.217,1,2000
2000-11-27,NYK,1,.507,15,28.9,.28,1,2000
2000-11-27,VAN,0,.369,12.9,19.6,.163,1,2000
2000-11-27,ORL,0,.383,14.6,22.9,.407,1,2000
2000-11-27,MIL,1,.532,15.8,20,.269,1,2000
2000-11-28,CHI,0,.417,18.4,27.9,.141,1,2000
2000-11-28,MIN,1,.518,14.9,38.3,.094,1,2000
2000-11-28,CLE,0,.411,19.5,31,.089,1,2000
2000-11-28,BOS,1,.487,14.3,21.4,.187,1,2000
2000-11-28,DAL,1,.495,4.8,21.7,.187,1,2000
2000-11-28,TOR,0,.45,15,34.1,.263,1,2000
2000-11-28,HOU,0,.427,20.8,31.7,.227,1,2000
2000-11-28,SAC,1,.482,13.7,24.4,.083,1,2000
2000-11-28,LAL,1,.53,9,36.5,.168,1,2000
2000-11-28,IND,0,.466,15.1,28.3,.299,1,2000
2000-11-28,MIA,0,.513,11.1,22.5,.286,1,2000
2000-11-28,MIL,1,.488,13.1,34.9,.268,1,2000
2000-11-28,NJN,0,.444,12.3,25,.247,1,2000
2000-11-28,UTA,1,.525,16.9,23.7,.16,1,2000
2000-11-28,POR,0,.442,11.7,31.8,.325,1,2000
2000-11-28,SEA,1,.512,11.3,39.5,.272,1,2000
2000-11-28,WAS,0,.341,14.9,22.7,.232,1,2000
2000-11-28,ATL,1,.512,18.2,36.4,.235,1,2000
2000-11-29,CHH,1,.59,13.7,32.1,.25,1,2000
2000-11-29,TOR,0,.346,5.6,27.8,.149,1,2000
2000-11-29,DET,1,.481,14.2,31.8,.266,1,2000
2000-11-29,NJN,0,.381,18,18.2,.373,1,2000
2000-11-29,LAC,1,.558,11.8,31.3,.26,1,2000
2000-11-29,GSW,0,.394,14,31.9,.25,1,2000
2000-11-29,MIN,0,.471,14.5,22,.221,1,2000
2000-11-29,DEN,1,.549,12.3,11.9,.207,1,2000
2000-11-29,NYK,0,.38,6.9,25.5,.217,1,2000
2000-11-29,MIA,1,.437,16.9,17.6,.46,1,2000
2000-11-29,ORL,0,.484,21,22.2,.397,1,2000
